Nr circumscripție,Circumscripție,cod_judet,Nume Partid,Partid,gen,Pozitie Buletin,Membru alianta,Nume,Prenume,Funcție,Pozitie lista,x
35,SUCEAVA,SV,PARTIDUL NAȚIONAL LIBERAL,PNL,M,1,,SCHIPOR,ADRIAN-ARCADIE,CD,8,SVPNLSCHIPOR
37,TIMIS,TM,PARTIDUL NAȚIONAL LIBERAL,PNL,M,4,,GHIRAN-BĂLA,ADRIAN-AUGUSTIN,CD,4,TMPNLGHIRAN-BĂLA
18,GALATI,GL,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,DREPT,M,15,,CADĂR,ADRIAN-BOGDAN,CD,1,GLDREPTCADĂR
40,VALCEA,VL,PARTIDUL ECOLOGIST ROMÂN,PER,M,9,,BACIU,ADRIAN-CĂTĂLIN,CD,1,VLPERBACIU
2,ARAD,AR,ROMÂNIA SOCIALISTĂ,PRS,M,20,PARTIDUL SOCIALIST ROMÂN,COVACI,ADRIAN-CIPRIAN,S,4,ARPRSCOVACIPARTIDUL SOCIALIST ROMÂN
31,PRAHOVA,PH,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,M,10,,CHIRICĂ,ADRIAN-CONSTANTIN,CD,5,PHPSDICHIRICĂ
27,MEHEDINTI,MH,PARTIDUL NAȚIONAL LIBERAL,PNL,M,6,,DINCĂ,ADRIAN-CONSTANTIN,S,2,MHPNLDINCĂ
10,BUZAU,BZ,FORȚA DREPTEI,FDREPTEI,M,3,,FLORESCU,ADRIAN-CONSTANTIN,S,1,BZFDREPTEIFLORESCU
24,IASI,IS,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,M,21,,HARTON,ADRIAN-CONSTANTIN,CD,6,ISPNCRHARTON
7,BOTOSANI,BT,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,M,18,,PINTILEI,ADRIAN-CONSTANTIN,CD,6,BTROACTPINTILEI
9,BRAILA,BR,PARTIDUL NOUA ROMÂNIE,PNRO,M,18,,VÎRVĂRESCU,ADRIAN-CONSTANTIN,CD,1,BRPNROVÎRVĂRESCU
21,HARGHITA,HR,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,M,3,,LĂDARU,ADRIAN-CORNEL,CD,3,HRAURLĂDARU
40,VALCEA,VL,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,M,18,,DABU,ADRIAN-COSMIN,S,2,VLPNCRDABU
2,ARAD,AR,PARTIDUL SOCIAL DEMOCRAT,PSD,M,2,,ANTOCHE,ADRIAN-CRISTIAN,CD,7,ARPSDANTOCHE
25,ILFOV,IF,PARTIDUL SOCIAL DEMOCRAT,PSD,M,3,,CONSTANTIN,ADRIAN-CRISTIAN,S,4,IFPSDCONSTANTIN
40,VALCEA,VL,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,M,7,,SANDU,ADRIAN-DANIEL,CD,1,VLROACTSANDU
2,ARAD,AR,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,M,11,,BUN,ADRIAN-DĂNUȚ,S,5,ARROACTBUN
3,ARGES,AG,PARTIDUL SOCIAL DEMOCRAT,PSD,M,2,,BUGHIU,ADRIAN-DUMITRU,CD,10,AGPSDBUGHIU
1,ALBA,AB,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,M,13,,BUTUC,ADRIAN-EMANUEL,S,2,ABPNCRBUTUC
36,TELEORMAN,TR,PARTIDUL NAȚIONAL LIBERAL,PNL,M,1,,SILIMON,ADRIAN-EMANUEL,CD,4,TRPNLSILIMON
33,SALAJ,SJ,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,M,7,,COZMUȚA,ADRIAN-EMILIUS,S,2,SJPNCRCOZMUȚA
8,BRASOV,BV,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,M,19,,IONESCU,ADRIAN-EUGEN,S,1,BVREPERIONESCU
34,SIBIU,SB,PATRIOȚII POPORULUI ROMÂN,PPR,M,11,,STOICA,ADRIAN-EUGEN,CD,1,SBPPRSTOICA
32,SATU MARE,SM,PARTIDUL NAȚIONAL LIBERAL,PNL,M,6,,COZMA,ADRIAN-FELICIAN,CD,1,SMPNLCOZMA
2,ARAD,AR,ROMÂNIA SOCIALISTĂ,PRS,M,20,PARTIDUL SOCIALIST ROMÂN,HAIDĂU,ADRIAN-FLORENTIN,CD,3,ARPRSHAIDĂUPARTIDUL SOCIALIST ROMÂN
31,PRAHOVA,PH,PARTIDUL SOCIAL DEMOCRAT UNIT,PSDU,M,12,,BARBACARIU,ADRIAN-GABRIEL,CD,5,PHPSDUBARBACARIU
31,PRAHOVA,PH,PARTIDUL OAMENILOR TINERI,POT,M,11,,DINU,ADRIAN-GABRIEL,CD,4,PHPOTDINU
31,PRAHOVA,PH,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,M,10,,PERPELEA,ADRIAN-GABRIEL,CD,2,PHPSDIPERPELEA
26,MARAMURES,MM,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,M,5,,SATMARI,ADRIAN-GABRIEL,CD,9,MMAURSATMARI
31,PRAHOVA,PH,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,M,2,,AXINIA,ADRIAN-GEORGE,CD,1,PHAURAXINIA
21,HARGHITA,HR,UNIUNEA SALVAȚI ROMÂNIA,USR,M,6,,CIOBANU,ADRIAN-GEORGE,CD,1,HRUSRCIOBANU
5,BIHOR,BH,PARTIDUL NAȚIONAL LIBERAL,PNL,M,4,,FOGHIȘ,ADRIAN-GEORGE,CD,7,BHPNLFOGHIȘ
5,BIHOR,BH,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,M,10,,MARIAN,ADRIAN-GHEORGHE,CD,2,BHS.O.S. ROMARIAN
8,BRASOV,BV,ALIANȚA NAȚIONAL CREȘTINĂ,ANC,M,8,,SĂLĂJAN,ADRIAN-GHEORGHE,CD,9,BVANCSĂLĂJAN
29,NEAMT,NT,FORȚA DREPTEI,FDREPTEI,M,5,,CREȚU,ADRIAN-GHEORGHIȚĂ,S,4,NTFDREPTEICREȚU
6,BISTRITA-NASAUD,BN,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,M,16,,MIC,ADRIAN-IGNAT,S,1,BNREPERMIC
42,Bucuresti,B,UNIUNEA SALVAȚI ROMÂNIA,USR,M,5,,BUDUROI,ADRIAN-ILIUȚĂ,S,13,BUSRBUDUROI
26,MARAMURES,MM,PARTIDUL ECOLOGIST ROMÂN,PER,M,8,,BOB,ADRIAN-IOAN,CD,5,MMPERBOB
26,MARAMURES,MM,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,M,18,,CHEUDAN,ADRIAN-IOAN,CD,1,MMROACTCHEUDAN
37,TIMIS,TM,PARTIDUL SOCIAL DEMOCRAT,PSD,M,6,,CIONCA,ADRIAN-IOAN,CD,3,TMPSDCIONCA
26,MARAMURES,MM,ALIANȚA PENTRU UNIREA ROMÂNILOR,AUR,M,5,,CRĂCIUN,ADRIAN-IOAN,CD,3,MMAURCRĂCIUN
22,HUNEDOARA,HD,FORȚA DREPTEI,FDREPTEI,M,1,,MLADIN,ADRIAN-IONEL,S,1,HDFDREPTEIMLADIN
16,DAMBOVITA,DB,PARTIDUL NAȚIONAL LIBERAL,PNL,M,5,,BAMBOI,ADRIAN-IONUȚ,CD,8,DBPNLBAMBOI
31,PRAHOVA,PH,PARTIDUL SOCIAL DEMOCRAT,PSD,M,3,,BUCUR,ADRIAN-IONUȚ,CD,6,PHPSDBUCUR
19,GIURGIU,GR,PARTIDUL NAȚIONAL LIBERAL,PNL,M,2,,CHIRAN,ADRIAN-IONUȚ,CD,6,GRPNLCHIRAN
8,BRASOV,BV,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,PSDI,M,17,,GEOTOIU,ADRIAN-IONUȚ,CD,10,BVPSDIGEOTOIU
2,ARAD,AR,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,M,12,,ADOC,ADRIAN-IOSIF,CD,4,ARPNCRADOC
22,HUNEDOARA,HD,UNIUNEA SALVAȚI ROMÂNIA,USR,M,5,,SECUI,ADRIAN-IULIAN,CD,2,HDUSRSECUI
42,Bucuresti,B,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PNCR,M,16,,PAVEL,ADRIAN-LEONTIN,S,10,BPNCRPAVEL
23,IALOMITA,IL,PATRIOȚII POPORULUI ROMÂN,PPR,M,19,,LUNGU,ADRIAN-LIVIU,S,1,ILPPRLUNGU
13,CLUJ,CJ,FORȚA DREPTEI,FDREPTEI,M,2,,MILU,ADRIAN-MACRINEL,CD,2,CJFDREPTEIMILU
19,GIURGIU,GR,PARTIDUL ROMÂNIA ÎN ACȚIUNE,ROACT,M,11,,CHIRIȚĂ,ADRIAN-MARIAN,S,3,GRROACTCHIRIȚĂ
13,CLUJ,CJ,PARTIDUL S.O.S. ROMÂNIA,S.O.S. RO,M,9,,FEDIUC,ADRIAN-MARIUS,S,3,CJS.O.S. ROFEDIUC
24,IASI,IS,PARTIDUL LIGA ACȚIUNII NAȚIONALE,PLAN,M,11,,PĂUN,ADRIAN-MARIUS,CD,5,ISPLANPĂUN
9,BRAILA,BR,PARTIDUL SOCIAL DEMOCRAT,PSD,M,2,,RÎNDUNICĂ,ADRIAN-MARIUS,S,2,BRPSDRÎNDUNICĂ
16,DAMBOVITA,DB,PARTIDUL NAȚIONAL LIBERAL,PNL,M,5,,SANDU,ADRIAN-MARIUS,CD,5,DBPNLSANDU
25,ILFOV,IF,PARTIDUL NOUA ROMÂNIE,PNRO,M,22,,RADU,ADRIAN-MIHAI,CD,1,IFPNRORADU
37,TIMIS,TM,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,REPER,M,12,,CIOROIANU,ADRIAN-MIHAIL,CD,1,TMREPERCIOROIANU
26,MARAMURES,MM,FORȚA DREPTEI,FDREPTEI,M,3,,TODORAN,ADRIAN-MIHĂIȚĂ,CD,1,MMFDREPTEITODORAN
5,BIHOR,BH,ROMÂNIA SOCIALISTĂ,PRS,M,12,PARTIDUL COMUNIST ROMÂN - SECOLUL XXI,CRISTEA,ADRIAN-MIRCEA,S,1,BHPRSCRISTEAPARTIDUL COMUNIST ROMÂN - SECOLUL XXI
23,IALOMITA,IL,PARTIDUL SOCIAL DEMOCRAT,PSD,M,3,,MOCIONIU,ADRIAN-NICOLAE,CD,3,ILPSDMOCIONIU
13,CLUJ,CJ,UNIUNEA SALVAȚI ROMÂNIA,USR,M,3,,PIȚU,ADRIAN-NICOLAE,S,6,CJUSRPIȚU
34,SIBIU,SB,PARTIDUL NAȚIONAL LIBERAL,PNL,M,3,,RĂULEA,ADRIAN-NICOLAE,CD,5,SBPNLRĂULEA
22,HUNEDOARA,HD,PARTIDUL NOUA ROMÂNIE,PNRO,M,8,,CHITIC,ADRIAN-NICU,CD,1,HDPNROCHITIC
17,DOLJ,DJ,ALIANȚA NAȚIONAL CREȘTINĂ,ANC,M,7,,LUPAȘTEAN,ADRIAN-PAUL,CD,2,DJANCLUPAȘTEAN
